concept_A,concept_B,n_people
Dyspnea,Pleural effusion,6
Abdominal pain,Cardiac arrhythmia,6
Abdominal pain,Pleural effusion,5
Abdominal pain,Nausea,5
Cardiac arrhythmia,Dyspnea,5
Anemia,Fever,5
Cardiac arrhythmia,Pleural effusion,5
Cardiac arrhythmia,Nausea,5
Chest pain,Dyspnea,5
Anemia,Tachycardia,5
Electrocardiogram abnormal,Pleural effusion,5
Abdominal pain,Dyspnea,5
Dyspnea,Nausea,5
Chest pain,Nausea and vomiting,5
Anemia,Dyspnea,5
Anemia,Cardiac arrhythmia,5
Pleural effusion,Tachycardia,5
Abdominal pain,Anemia,5
Anemia,Retention of urine,5
Anemia,Pleural effusion,5
Dyspnea,Nausea and vomiting,5
Dyspnea,Tachycardia,5
Dyspnea,Electrocardiogram abnormal,5
Chest pain,Pleural effusion,5
Nausea,Pleural effusion,5
Nausea and vomiting,Pleural effusion,5
Abdominal pain,Lung field abnormal,5
Acute respiratory failure,Thrombocytopenic disorder,5
Cardiac arrhythmia,Lung field abnormal,5
Anemia,Thrombocytopenic disorder,5
Anemia,Atelectasis,5
Atelectasis,Thrombocytopenic disorder,4
Abdominal pain,Acute renal failure syndrome,4
Electrocardiogram abnormal,Nausea and vomiting,4
Cardiac arrhythmia,Tachycardia,4
Abnormal findings on diagnostic imaging of lung,Illness,4
Chest pain,Disorder of brain,4
Chest pain,Constipation,4
Cardiac arrhythmia,Sepsis,4
Disorder of brain,Nausea and vomiting,4
Abdominal pain,Hypoxemia,4
Abdominal pain,Nausea and vomiting,4
Abdominal pain,Chest pain,4
Chest pain,Electrocardiogram abnormal,4
Dyspnea,Pain due to neoplastic disease,4
Chest pain,Nausea,4
Essential hypertension,Tachycardia,4
Abdominal pain,Fever,4
Dyspnea,Retention of urine,4
Essential hypertension,Retention of urine,4
Anemia,Pain due to neoplastic disease,4
Anemia,Nausea,4
Anemia,Nausea and vomiting,4
Anemia,Hypoxemia,4
Anemia,Illness,4
Fever,Retention of urine,4
Anemia,Essential hypertension,4
Essential hypertension,Fever,4
Electrocardiogram abnormal,Tachycardia,4
Illness,Pleural effusion,4
Anemia,Electrocardiogram abnormal,4
Chest pain,Pain due to neoplastic disease,4
Acute renal failure syndrome,Low blood pressure,4
Chest pain,Tachycardia,4
Diarrhea,Sepsis,4
Electrocardiogram abnormal,Essential hypertension,4
Fever,Hypoxemia,4
Constipation,Fever,4
Constipation,Dyspnea,4
Dyspnea,Essential hypertension,4
Constipation,Electrocardiogram abnormal,4
Anemia,Constipation,4
Electrocardiogram abnormal,Retention of urine,4
Constipation,Disorder of brain,4
Dyspnea,Fever,4
Acute renal failure syndrome,Cardiac arrhythmia,4
Abdominal pain,Electrocardiogram abnormal,4
Abdominal pain,Constipation,4
Essential hypertension,Pleural effusion,4
Fever,Tachycardia,4
Cardiac arrhythmia,Electrocardiogram abnormal,4
Fever,Pleural effusion,4
Constipation,Pleural effusion,4
Cardiac arrhythmia,Chest pain,4
Cardiac arrhythmia,Constipation,4
Anemia,Chest pain,4
Cardiac arrhythmia,Low blood pressure,4
Illness,Tachycardia,4
Cardiac arrhythmia,Hypoxemia,4
Dyspnea,Illness,4
Constipation,Sepsis,4
Disorder of brain,Dyspnea,4
Cardiac arrhythmia,Fever,4
Disorder of brain,Electrocardiogram abnormal,4
Abdominal pain,Sepsis,4
Nausea,Nausea and vomiting,4
Anemia,Sepsis,4
Nausea,Tachycardia,4
Nausea and vomiting,Pain due to neoplastic disease,4
Abdominal pain,Low blood pressure,4
Abdominal pain,Tachycardia,4
Nausea and vomiting,Tachycardia,4
Acute deep vein thrombosis of lower limb,Anemia,4
Pain due to neoplastic disease,Pleural effusion,4
Pain due to neoplastic disease,Tachycardia,4
Pleural effusion,Retention of urine,4
Constipation,Nausea and vomiting,4
Fever,Thrombocytopenic disorder,4
Retention of urine,Tachycardia,4
Abdominal pain,Abnormal glucose level,4
Abdominal pain,Acute respiratory failure,4
Cardiac arrhythmia,Nausea and vomiting,4
Abdominal pain,Headache,4
Abdominal pain,Thrombocytopenic disorder,4
Abnormal glucose level,Cardiac arrhythmia,4
Abnormal glucose level,Acute respiratory failure,4
Abnormal glucose level,Lung field abnormal,4
Abnormal glucose level,Thrombocytopenic disorder,4
Acute respiratory failure,Cardiac arrhythmia,4
Acute respiratory failure,Lung field abnormal,4
Acute respiratory failure,Sepsis,4
Acute respiratory failure,Severe sepsis,4
Electrocardiogram abnormal,Fever,4
Electrocardiogram abnormal,Nausea,4
Cardiac arrhythmia,Headache,4
Cardiac arrhythmia,Thrombocytopenic disorder,4
Chest pain,Headache,4
Leukocytosis,Pleural effusion,4
Constipation,Headache,4
Constipation,Thrombocytopenic disorder,4
Dyspnea,Late effect of medical and surgical care complication,4
Dyspnea,Leukocytosis,4
Dyspnea,Lung field abnormal,4
Dyspnea,Headache,4
Dyspnea,Thrombocytopenic disorder,4
Electrocardiogram abnormal,Late effect of medical and surgical care complication,4
Electrocardiogram abnormal,Leukocytosis,4
Electrocardiogram abnormal,Thrombocytopenic disorder,4
Headache,Lung field abnormal,4
Headache,Nausea and vomiting,4
Headache,Thrombocytopenic disorder,4
Headache,Pleural effusion,4
Late effect of medical and surgical care complication,Leukocytosis,4
Late effect of medical and surgical care complication,Pleural effusion,4
Late effect of medical and surgical care complication,Thrombocytopenic disorder,4
Leukocytosis,Thrombocytopenic disorder,4
Lung field abnormal,Nausea,4
Lung field abnormal,Pleural effusion,4
Lung field abnormal,Thrombocytopenic disorder,4
Abnormal findings on diagnostic imaging of lung,Anemia,4
Pleural effusion,Thrombocytopenic disorder,4
Sepsis,Severe sepsis,4
Sepsis,Thrombocytopenic disorder,4
Seizure,Thrombocytopenic disorder,4
Severe sepsis,Thrombocytopenic disorder,4
Disorder of brain,Pleural effusion,4
Acute respiratory failure,Anemia,4
Abdominal pain,Atelectasis,4
Retention of urine,Thrombocytopenic disorder,4
Atelectasis,Tachycardia,4
Anemia,Lung field abnormal,4
Anemia,Headache,4
Atelectasis,Cardiac arrhythmia,4
Atelectasis,Dyspnea,4
Atelectasis,Fever,4
Abnormal findings on diagnostic imaging of lung,Tachycardia,4
Abnormal findings on diagnostic imaging of lung,Pleural effusion,4
Atelectasis,Lung field abnormal,4
Atelectasis,Headache,4
Atelectasis,Pleural effusion,4
Abnormal findings on diagnostic imaging of lung,Dyspnea,4
Chest pain,Cough,3
Chest pain,Diarrhea,3
Chest pain,Disease of liver,3
Chest pain,Fever,3
Chest pain,Generalized abdominal pain,3
Chest pain,Eruption,3
Chest pain,"Intra-abdominal and pelvic swelling, mass and lump",3
Chest pain,Hypervolemia,3
Chest pain,Hypo-osmolality and or hyponatremia,3
Chest pain,Illness,3
Chest pain,Inflammatory dermatosis,3
Chest pain,Poisoning by drug AND/OR medicinal substance,3
Chest pain,Retention of urine,3
Chest pain,Right upper quadrant pain,3
Chest pain,Secondary malignant neoplasm of intrathoracic lymph nodes,3
Chest pain,Secondary malignant neoplasm of lung,3
Constipation,Cough,3
Chest pain,Vomiting,3
Chest pain,Secondary malignant neoplasm of pleura,3
Chest pain,Secondary thrombocytopenia,3
Chest pain,Sepsis,3
Constipation,Edema,3
Constipation,Diarrhea,3
Constipation,Inflammatory dermatosis,3
Constipation,Inflammatory disorder of digestive tract,3
Constipation,Hypervolemia,3
Atelectasis,Illness,3
Constipation,Hypoxemia,3
Constipation,Eruption,3
Constipation,Essential hypertension,3
Constipation,Poisoning by drug AND/OR medicinal substance,3
Constipation,Pain due to neoplastic disease,3
Constipation,Pancytopenia due to antineoplastic chemotherapy,3
Constipation,Nausea,3
Constipation,Low blood pressure,3
Constipation,Secondary thrombocytopenia,3
Constipation,Retention of urine,3
Cough,Dyspnea,3
Cough,Electrocardiogram abnormal,3
Cough,Disorder of brain,3
Cough,Diarrhea,3
Constipation,Vomiting,3
Constipation,Shoulder joint pain,3
Constipation,Tachycardia,3
Cough,Pleural effusion,3
Cough,Nausea,3
Cough,Nausea and vomiting,3
Cough,Inflammatory dermatosis,3
Cough,Hypervolemia,3
Cough,Eruption,3
Cough,Vomiting,3
Cough,Sepsis,3
Diarrhea,Dyspnea,3
Diarrhea,Disorder of brain,3
Diarrhea,Nausea,3
Diarrhea,Nausea and vomiting,3
Diarrhea,Inflammatory dermatosis,3
Abdominal pain,Acidosis,3
Abnormal findings on diagnostic imaging of lung,Atelectasis,3
Diarrhea,Hypervolemia,3
Diarrhea,Electrocardiogram abnormal,3
Diarrhea,Eruption,3
Disease of liver,Dyspnea,3
Diarrhea,Vomiting,3
Diarrhea,Retention of urine,3
Diarrhea,Pleural effusion,3
Disease of liver,Nausea,3
Disease of liver,Nausea and vomiting,3
Disease of liver,Generalized abdominal pain,3
Disease of liver,Pleural effusion,3
Abdominal pain,Abnormal findings on diagnostic imaging of lung,3
Disorder of bone,Essential hypertension,3
Disorder of bone,Fever,3
Disorder of bone,Disorder of soft tissue,3
Disorder of bone,Dyspnea,3
Disorder of bone,Illness,3
Disorder of bone,Electrocardiogram abnormal,3
Disorder of bone,Retention of urine,3
Disorder of bone,Pleural effusion,3
Disorder of bone,Tachycardia,3
Disorder of brain,Essential hypertension,3
Disorder of brain,Fever,3
Disorder of brain,Inflammatory dermatosis,3
Disorder of brain,Hypervolemia,3
Disorder of brain,Eruption,3
Disorder of brain,Poisoning by drug AND/OR medicinal substance,3
Disorder of brain,Pain due to neoplastic disease,3
Tachycardia,Thrombocytopenic disorder,3
Disorder of brain,Nausea,3
Disorder of brain,Tachycardia,3
Disorder of brain,Secondary thrombocytopenia,3
Disorder of brain,Sepsis,3
Disorder of brain,Retention of urine,3
Disorder of brain,Vomiting,3
Disorder of soft tissue,Dyspnea,3
Disorder of soft tissue,Electrocardiogram abnormal,3
Disorder of soft tissue,Essential hypertension,3
Abdominal pain,Ascites,3
Abdominal pain,Acute deep vein thrombosis of lower limb,3
Disorder of soft tissue,Illness,3
Disorder of soft tissue,Fever,3
Disorder of soft tissue,Pleural effusion,3
Disorder of soft tissue,Retention of urine,3
Disorder of soft tissue,Tachycardia,3
Dyspnea,Eruption,3
Dyspnea,Inflammatory dermatosis,3
Dyspnea,Generalized abdominal pain,3
Dyspnea,"Intra-abdominal and pelvic swelling, mass and lump",3
Dyspnea,Low blood pressure,3
Abdominal pain,Cough,3
Abdominal pain,Diarrhea,3
Dyspnea,Hypervolemia,3
Dyspnea,Hypo-osmolality and or hyponatremia,3
Dyspnea,Hypoxemia,3
Dyspnea,Pneumothorax,3
Dyspnea,Poisoning by drug AND/OR medicinal substance,3
Dyspnea,Secondary hypertension,3
Dyspnea,Secondary malignant neoplasm of intrathoracic lymph nodes,3
Dyspnea,Secondary malignant neoplasm of lung,3
Abdominal pain,Disease of liver,3
Abdominal pain,Disorder of brain,3
Oral ulcerative mucositis due to antineoplastic therapy,Pain due to neoplastic disease,3
Dyspnea,Secondary thrombocytopenia,3
Dyspnea,Sepsis,3
Dyspnea,Right upper quadrant pain,3
Dyspnea,Vomiting,3
Dyspnea,Secondary malignant neoplasm of pleura,3
Edema,Fever,3
Edema,Hypoxemia,3
Electrocardiogram abnormal,Eruption,3
Edema,Sepsis,3
Edema,Shoulder joint pain,3
Abdominal pain,Edema,3
Oral ulcerative mucositis due to antineoplastic therapy,Tachycardia,3
Electrocardiogram abnormal,Low blood pressure,3
Electrocardiogram abnormal,Hypervolemia,3
Electrocardiogram abnormal,Hypoxemia,3
Electrocardiogram abnormal,Illness,3
Electrocardiogram abnormal,Inflammatory dermatosis,3
Electrocardiogram abnormal,Secondary hypertension,3
Electrocardiogram abnormal,Poisoning by drug AND/OR medicinal substance,3
Abdominal pain,Eruption,3
Abdominal pain,Essential hypertension,3
Oral ulcerative mucositis due to antineoplastic therapy,Pleural effusion,3
Abdominal pain,Generalized abdominal pain,3
Electrocardiogram abnormal,Pain due to neoplastic disease,3
Electrocardiogram abnormal,Vomiting,3
Electrocardiogram abnormal,Secondary thrombocytopenia,3
Electrocardiogram abnormal,Sepsis,3
Eruption,Nausea and vomiting,3
Eruption,Inflammatory dermatosis,3
Eruption,Hypervolemia,3
Eruption,Sepsis,3
Eruption,Pleural effusion,3
Leukocytosis,Tachycardia,3
Nausea and vomiting,Oral ulcerative mucositis due to antineoplastic therapy,3
Lung field abnormal,Tachycardia,3
Abdominal pain,Illness,3
Eruption,Nausea,3
Essential hypertension,Hypoxemia,3
Eruption,Vomiting,3
Essential hypertension,Nausea,3
Essential hypertension,Nausea and vomiting,3
Essential hypertension,Illness,3
Essential hypertension,Secondary hypertension,3
Essential hypertension,Poisoning by drug AND/OR medicinal substance,3
Acute renal failure syndrome,Sepsis,3
Abdominal pain,Inflammatory dermatosis,3
Abdominal pain,Hypervolemia,3
Essential hypertension,Pain due to neoplastic disease,3
